There are a total of 664 total claims

 7 | -2384,-3232 
 Havetsmøte | 1248,-3248 
 Silvanmere | -1696,-6368 
 WorldsFair | 2176,9840 
 Alexandria | 5056,2960 
 Ghale-e | -4160,-560 
 crazygriffin2 | 960,-8192 
 SnowFire | -3104,-5152 
 Jekaun | 5888,-1200 
 Geirkeihs | 2160,-3520 
 Lechogród | -10656,1712 
 M | 4016,-8288 
 Valhiria | -1520,720 
 Petraxen | -7936,-7056 
 FederationofYarmukia | -3792,1216 
 Bahraniye | -5040,-1200 
 Poopevirke | 6368,-8384 
 Soul | -480,-7968 
 Blackcloaks | -3952,-6368 
 CorazonDeLaElfoSalamdeul | -4160,6432 
 Le'solei | 1664,-7904 
 kri | -11792,-7376 
 Sarai | 6080,-1824 
 Casla_Orenk | -9440,-1968 
 TheBoneSpire | 3712,-9120 
 Mwb'Gubgli'Mart | -2400,-4864 
 Liberdinia | -4240,-720 
 Fort_Corvus | 4400,9936 
 Josor | 1184,-9120 
 Viiberg | -2272,-5504 
 delfor | -11360,3776 
 Flexitplayz | 7968,6448 
 Briggs | -2288,-6960 
 Aeronhyll | 32,-7680 
 Dontworry | -528,-4736 
 Laysan | -8624,5872 
 Rubrem_Urvo | 7600,6096 
 Kafkalum | -1088,2400 
 Vanity | -496,224 
 Ulimur | -5008,9312 
 bounia | -352,1456 
 Skollar | 7008,2784 
 Erthoot | 3616,192 
 Suldexian_Mountain_Pass | -272,8576 
 Izenhold | -10096,-1920 
 Kluwnmart | 80,-6864 
 willeberg4 | 6672,96 
 Mastria | -1008,560 
 HW.Traustur | -5888,-3088 
 AgnusDei | -8800,-7808 
 Kallitz | 6624,-9120 
 Ovreseburg | 624,9312 
 Aurore | -5840,1280 
 Vairuta | 7264,-2544 
 Wotonia | 3264,-2848 
 Waffelsen | -2416,-9376 
 Farawak | 8112,-7824 
 LandOfTheRich | -7200,720 
 Anichitl | -592,-160 
 Corvus | -9888,7104 
 Capital | -4880,8752 
 Yokusvar | 7568,-1728 
 Caeurnum | -3632,-5824 
 zozograd | -2128,9408 
 longstick_CO | -11584,-336 
 Moss_Catcher | 304,1904 
 Avrio | -7760,5200 
 Mücevher | 1264,-96 
 Sorrenburg | -416,2128 
 FallenAngels | -10928,6368 
 Vertatmai | 7456,-2880 
 Zephosia | -80,1488 
 Stormforge | 3152,5808 
 korod | -672,3712 
 Valborg | -9040,-2400 
 ktronspectra | 7616,3168 
 Kaivos | -9120,6752 
 Nea_Lowtharia | -640,-7312 
 Valondor | -6416,-3808 
 Haense | -5024,8704 
 Ómecàdha | -11072,9744 
 Port_Cactussy | 4192,8640 
 Dragon's_Perch | -96,-7856 
 TempleIsland | -9568,1328 
 Fellowship | -11024,-9696 
 Thornswood | 6800,-416 
 Gertek_Ratio | 6512,-1120 
 Yingon | 400,2512 
 Dugino | 3280,2576 
 TEA..... | -11040,3008 
 Iceberg | -48,-384 
 Muttonmart | -8240,-64 
 Fisher's_Elegy | 4288,-2720 
 Kudu_Fleet | -7808,6032 
 Lactopolis | 7072,-384 
 boliventia | -10544,-9104 
 Altaria | -848,-624 
 Thyvrixia | -1248,368 
 Wadiwaya | -384,9344 
 Cìrion | 5296,5680 
 Adlerstad | 3296,-9200 
 Mavbier | 5712,-928 
 Elentri | -11840,8960 
 Republic_of_Brightland | 272,-4480 
 BMW | -3984,-7200 
 Jarazah'lze-UajAnoomat | 1744,-2720 
 Armos | 2768,-9056 
 Gloria | -11584,-8240 
 Paxim | -7312,5136 
 Urgal | 1840,-512 
 Shiekrieg | 640,-3728 
 Kitsune | -2192,1616 
 Ecyl | 3904,-48 
 Budgefort | 4528,5088 
 Munshiti | 5904,-2096 
 Blakgarde | 624,5808 
 tempclaim1 | 7840,-5408 
 UnknownCalamity | 5616,2160 
 Port_Duorado | -10928,4496 
 5LH96 | 3600,-1536 
 sussyburg | -5760,2576 
 lizardonia | -10640,8848 
 Akonburg | -8256,416 
 Horiroza | 3280,2896 
 Elysium | -5328,9728 
 Khayoum | 0,6864 
 Arles | 6896,-6144 
 RoseyapaBidazh | -7664,-9376 
 Archemen | 208,3056 
 NewLímnos | -5632,816 
 Anvil | -1008,5968 
 The_God's_Horn | -3360,-6016 
 Nua_Oreoki | -3728,3856 
 Akarid_Outpost | -5184,-4464 
 HAMODOPOLIS_2 | -9136,7536 
 Tartarus | 8112,-10000 
 Lacadia | -416,3840 
 Decent_Kartoffel | -8432,320 
 Tannia | -10416,7872 
 Diveswich | -11488,6816 
 Galadonn | -10560,6800 
 Carolenés | -10832,3536 
 Trafalgar | -9552,-3024 
 Abacoa | -8080,-9488 
 Bulbatreg | -10368,336 
 Solsea | 1392,-9248 
 FortSadavir | -11136,8128 
 Koducadia | -720,512 
 Etherea | -8976,-48 
 Altgold | 1984,-5824 
 Asacaht's_Peak | 2880,-224 
 Elysia | -9664,3616 
 Abankar | -6224,5312 
 Kanske | -5040,9792 
 sidecans_landing | 4288,832 
 Faersted | -9040,7568 
 17kdsb | -1072,-736 
 Taco_Island | 4592,-912 
 SaintLouis | -176,-6560 
 Magnusde11 | -608,928 
 GoosePloops | 672,-864 
 Kaybal | -2864,-1136 
 Bank | -7216,7200 
 DuckTown | -2032,-272 
 gaming_real | -5056,8352 
 Devoidy_Wonderland | 8016,-7696 
 New_Aldveria | -3712,-368 
 Glacia | 7792,8720 
 Meyana | -272,-1216 
 Herrscher | -3056,-9536 
 Golden_Hill_Range | 6272,-3856 
 Shirosa | -6192,-9520 
 Uruk | 272,1616 
 Banshee | 5696,6128 
 BattleNation | 7328,-1792 
 city_of_miracles | 4640,-9872 
 Mogsville | -10928,-4832 
 Kalitin | 5008,5600 
 Osgaroth | 832,-6368 
 Shicelii | -1312,1216 
 A.E.KFort | 4752,5312 
 Lefavdrin | 272,7200 
 NoIrlNamesAllowed5 | -1152,624 
 Plaleztil | -11376,3280 
 Berdyansk | 6496,-2464 
 Cupkakes | -16,-4880 
 Fort_Nabutanu | -10480,8560 
 Ötüken | -11840,9280 
 AltLeyden | -6928,5296 
 Frostguard | -3728,-6240 
 Atlantis | -11392,160 
 Capitoline | -2272,400 
 Walmart | 6192,6544 
 house | -1840,8976 
 drevak | -5888,752 
 Istopol | -10560,-6880 
 StoneHaven | -8864,208 
 Akaishiro | 3152,9008 
 Valhræd | -11840,-8192 
 Birdbay | -5600,1632 
 SugerJomfruøer | 1424,-3344 
 MountOlympus | 2608,-9824 
 Velenburg | -8800,-816 
 Nuggetville | -3536,1216 
 Zenspen | 3760,3184 
 Trava | 4784,3872 
 Dragons_Rest | 8096,3456 
 SeasBane | -7456,-8880 
 Maynophobia_Castle | -11552,-6208 
 MountainofCherries | -2080,1040 
 Al-Kida | 1664,-2256 
 Kabadelaz | 5904,8336 
 Victia | 1888,-272 
 Ligstemeci_Harpylen | 3216,-8176 
 spezia | -2912,8656 
 Kamatis_Asratu | -10496,-1872 
 RedWood | -2368,2592 
 Anem | -1888,4304 
 Elvenon | -6816,-3920 
 Port_Cyrus | -128,-7296 
 Urnu-Interdam | -10528,-688 
 Falamdan | -11856,-9824 
 Serrano | -7312,3840 
 Nexus | -1360,9536 
 Grandpeak | -6992,-9552 
 Rio'caayr | -6320,-192 
 Epik3510 | 5296,1344 
 Chakamul | 2704,9888 
 Runk_ | -1040,1808 
 Branik | -7152,5312 
 Musta | -11840,2128 
 Bēstengel_Tribe | 2752,-768 
 Crovinci | 7648,-5248 
 Delende-Est | 1600,-2928 
 ProsedeMonastery | -8976,1232 
 Sakushiro | -2528,1120 
 Eveetown | -10304,-2320 
 Zamovari | 7248,3792 
 Blackwater | -848,-496 
 Nova_Braxlantis | -2416,80 
 Anti_Echo_League | -8784,5904 
 Somitic | -800,2384 
 kaladonia | -1264,-880 
 cuberlistic | 4224,6928 
 Lipovnia | 4160,-2304 
 MahksTahn | 1552,-1120 
 CherryGrove | 8112,5424 
 PromisedValley | -1264,3200 
 Kah-rai-la | -8944,4048 
 Tamjiban | -7952,6784 
 Krionar | 1792,-144 
 elasla | -560,-400 
 Dirac_HQ | -32,-16 
 Asuras-Anārogya | -2496,-6016 
 Ingot_shop | 2224,-6544 
 Lune-Serenissima | 256,6992 
 TheChurch | -4128,-1008 
 Denwood | -5312,8720 
 Wolkenland | -2592,320 
 Mons_Astrum | -3984,-3920 
 Phoenicis | -304,-4592 
 Kel'Vuthras | 2960,-9056 
 gaming5 | -5232,8080 
 SaintStevos | -560,-6048 
 Antrumurb | -7312,-8960 
 Rhotae | -4240,-6272 
 WorldlyEmu6 | -2576,816 
 Emartain | -1008,-464 
 Droaksome | -1600,1488 
 Lantengi | 4368,-8960 
 Cromacian_Market | -7088,8016 
 coralpeacock | -9856,7376 
 Argroth | -5040,-6608 
 Citadel | 4784,8800 
 Copeville | -1376,9088 
 Beedapest | -3248,1344 
 Ävrgehst | 3856,9152 
 Losźigmörigg | -7440,5696 
 Híaran'úrg_Tanós | 7392,7184 
 Palufin | 6496,-7536 
 ondyys | -5312,1744 
 Terra-Maria | -8784,-9520 
 Login44 | -3360,-4464 
 Seuryonhwan | -4704,6400 
 Bortheruc | 7920,7984 
 Abervale | 3376,8848 
 camz | -8592,-2352 
 Barbarum | -5920,512 
 NovaKatolis | -16,-4784 
 PortTown | -4448,-2272 
 FossumAstri | -9072,5232 
 NoIrlNamesAllowed2 | 6640,-5296 
 Zenrith | -2192,-208 
 Breadburg | -8208,4864 
 Bar_of_Oak | 2768,-6560 
 NeoViodoxa | -4336,-2624 
 ignis_city | 2048,-2688 
 Vostokograd | -2816,-7344 
 lamburg | 2048,-6080 
 Agarþa | 3056,-9888 
 Na'eko's-Reja | -11840,9552 
 Traseon | 7360,-3120 
 Mjoildam | -1072,4432 
 xstwn | -112,960 
 Port-Tuadapa | -4144,3440 
 Alpenland | -7424,5952 
 ShadowCrest | -8464,-656 
 Stuoupolis | -1008,656 
 itMegu | 6144,7104 
 Bergsteiger | 6800,-8768 
 Alarceste | 624,-1920 
 Laros_Estate | 6240,-9616 
 Dinas-Brythonia | -368,3424 
 Xerusion | 1520,3008 
